company_name,isin_code
ED INVEST SPÓŁKA AKCYJNA,PLEDINV00014
GRUPA AZOTY SPÓŁKA AKCYJNA,PLZATRM00012
GRUPA AZOTY ZAKŁADY CHEMICZNE POLICE S.A.,PLZCPLC00036
GRUPA AZOTY ZAKŁADY AZOTOWE "PUŁAWY" SA,PLZAPUL00057
ELEKTROTIM SPÓŁKA AKCYJNA,PLELEKT00016
ES-SYSTEM SPÓŁKA AKCYJNA,removed
ENERGOINSTAL SPÓŁKA AKCYJNA,PLERGIN00015
HUTMEN SA,removed
ZAKŁADY PRZEMYSŁU CUKIERNICZEGO OTMUCHÓW SPÓŁKA AKCYJNA,PLZPCOT00018
EGB INVESTMENTS SPÓŁKA AKCYJNA,PLEGBIV00012
ORZEŁ BIAŁY SPÓŁKA AKCYJNA,PLORZBL00013
PAGED SA,PLPAGED00017
INTROL SPÓŁKA AKCYJNA,PLINTRL00013
POLIMEX-MOSTOSTAL S.A.,PLMSTSD00019
EDITEL POLSKA SPÓŁKA AKCYJNA,PLEDSON00018
PCC INTERMODAL SPÓŁKA AKCYJNA,PLPCCIM00014
P.A. NOVA SPÓŁKA AKCYJNA,PLPANVA00013
MAKARONY POLSKIE SPÓŁKA AKCYJNA,PLMKRNP00015
LEXBONO SPÓŁKA AKCYJNA,PLBVTSA00012
SELVITA SPÓŁKA AKCYJNA,PLSLVCR00029
GREMI MEDIA SA,PLGRMID00019
PLATIGE IMAGE SPÓŁKA AKCYJNA,PLPTGMG00013
ALIOR BANK SPÓŁKA AKCYJNA,PLALIOR00045
AWBUD SA,PLINSTL00011
AZTEC INTERNATIONAL SPÓŁKA AKCYJNA,PLAZTEC00011
LOKUM,PLLKMDW00049
IPOPEMA SECURITIES SPÓŁKA AKCYJNA,PLIPOPM00011
AEDES SPÓŁKA AKCYJNA,PLAEDES00016
ALTA SA,PLTRNSU00013
TOWARZYSTWO FINANSOWE SPÓŁDZIELCZYCH KAS OSZCZĘDNOŚCIOWO-KREDYTOWYCH SPÓŁKA AKCYJNA,removed
DTP SPÓŁKA AKCYJNA,PLDTP0000010
VANTAGE DEVELOPMENT SPÓŁKA AKCYJNA,PLVTGDL00010
VIRTUAL VISION SPÓŁKA AKCYJNA,PLVRTLV00019
WIRTUALNA POLSKA HOLDING,PLWRTPL00027
OPEN FINANCE SPÓŁKA AKCYJNA,PLOPNFN00010
GRUPA LOTOS SA,PLLOTOS00025
BYTOM SA,PLBYTOM00010
CAPITAL PARTNERS SA,PLCPTLP00015
CCC S.A.,PLCCC0000016
mBank SA,PLBRE0000012
ERGIS SPÓŁKA AKCYJNA,PLEUFLM00017
MENNICA POLSKA SA,PLMNNCP00011
CLEAN&CARBON ENERGY SA,PLKAREN00014
CALATRAVA CAPITAL SA,PLBRSTM00015
BUDOPOL-WROCŁAW SA,removed
IZOLACJA-JAROCIN SA,PLIZCJR00017
AMPLI SA,PLAMPLI00019
AMICA WRONKI SA,PLAMICA00010
COAL ENERGY S.A.,LU0646112838
